_token_,grammar_symbol
string,string
ääretult,ADJ_M
äärmiselt,ADJ_M
absoluutselt,ADJ_M
aina,ADJ_M
aiva,ADJ_M
äkiliselt,ADJ_M
äraütlemata,ADJ_M
arusaamatult,ADJ_M
ebainimlikult,ADJ_M
ebatavaliselt,ADJ_M
ehmatavalt,ADJ_M
ekstra,ADJ_M
emotsionaalselt,ADJ_M
erakordselt,ADJ_M
eriliselt,ADJ_M
eriti,ADJ_M
geniaalselt,ADJ_M
häbematult,ADJ_M
häirivalt,ADJ_M
hämmastavalt,ADJ_M
harjumatult,ADJ_M
harukordselt,ADJ_M
haruldaselt,ADJ_M
hästi,ADJ_M
hästi-hästi,ADJ_M
hiigla,ADJ_M
hiiglama,ADJ_M
hirmuäratavalt,ADJ_M
hirmus,ADJ_M
hirmutavalt,ADJ_M
hoopis,ADJ_M
hoopiski,ADJ_M
hullult,ADJ_M
hullumeelselt,ADJ_M
hullupööra,ADJ_M
igamoodi,ADJ_M
igapidi,ADJ_M
igatemoodi,ADJ_M
igati,ADJ_M
igatpidi,ADJ_M
ilgelt,ADJ_M
iseäranis,ADJ_M
jaburalt,ADJ_M
jahmatavalt,ADJ_M
jõle,ADJ_M
jube,ADJ_M
kahtlaselt,ADJ_M
karjuvalt,ADJ_M
kaunikesti,ADJ_M
kaunis,ADJ_M
kirjeldamatult,ADJ_M
koguni,ADJ_M
kogunisti,ADJ_M
kohatult,ADJ_M
kohutavalt,ADJ_M
kõigiti,ADJ_M
kole,ADJ_M
koletult,ADJ_M
kuigivõrd,ADJ_M
kuitahes,ADJ_M
kujuteldamatult,ADJ_M
küllalt,ADJ_M
küllaltki,ADJ_M
kummaliselt,ADJ_M
kuradima,ADJ_M
kuratlikult,ADJ_M
kurvastavalt,ADJ_M
läbinisti,ADJ_M
lämmatavalt,ADJ_M
lapsemeelselt,ADJ_M
lausa,ADJ_M
lavaliselt,ADJ_M
liialt,ADJ_M
liiga,ADJ_M
liigselt,ADJ_M
lõpmata,ADJ_M
lõpmatu,ADJ_M
lõpmatult,ADJ_M
maani,ADJ_M
masendavalt,ADJ_M
meeldivalt,ADJ_M
meeletult,ADJ_M
metsikult,ADJ_M
muinasjutuliselt,ADJ_M
müstiliselt,ADJ_M
naiselikult,ADJ_M
naljakalt,ADJ_M
natike,ADJ_M
nats,ADJ_M
natuke,ADJ_M
natukene,ADJ_M
naturaalselt,ADJ_M
neetult,ADJ_M
nii,ADJ_M
niigi,ADJ_M
niiii,ADJ_M
nii-nii,ADJ_M
niipalju,ADJ_M
niivõrd,ADJ_M
nõnda,ADJ_M
õige,ADJ_M
õudselt,ADJ_M
paganama,ADJ_M
parajalt,ADJ_M
parasjagu,ADJ_M
päris,ADJ_M
päriselt,ADJ_M
peaaegu,ADJ_M
pealtnäha,ADJ_M
petlikult,ADJ_M
pigem,ADJ_M
piinavalt,ADJ_M
piinlikult,ADJ_M
piisavalt,ADJ_M
pimestavalt,ADJ_M
pisut,ADJ_M
pööraselt,ADJ_M
põrgulikult,ADJ_M
rabavalt,ADJ_M
röögatult,ADJ_M
saati,ADJ_M
sajaprotsendiliselt,ADJ_M
sedavõrd,ADJ_M
seesmiselt,ADJ_M
seletamatult,ADJ_M
silmatorkavalt,ADJ_M
suht,ADJ_M
suhteliselt,ADJ_M
suisa,ADJ_M
sümpaatselt,ADJ_M
sünnipäraselt,ADJ_M
täielikult,ADJ_M
täiesti,ADJ_M
täitsa,ADJ_M
talumatult,ADJ_M
tapvalt,ADJ_M
tavatult,ADJ_M
tobedalt,ADJ_M
tõeliselt,ADJ_M
tõepoolest,ADJ_M
tõesti,ADJ_M
tohutult,ADJ_M
tõsi,ADJ_M
tõsiselt,ADJ_M
totaalselt,ADJ_M
totralt,ADJ_M
tüütult,ADJ_M
ühtviisi,ADJ_M
ülearu,ADJ_M
üleliia,ADJ_M
ülemäära,ADJ_M
ületamatult,ADJ_M
ülevoolavalt,ADJ_M
ülimalt,ADJ_M
üllatavalt,ADJ_M
umbes,ADJ_M
umbkaudu,ADJ_M
üpris,ADJ_M
uskumatult,ADJ_M
üsna,ADJ_M
ütlemata,ADJ_M
väga,ADJ_M
väga-väga,ADJ_M
vähe,ADJ_M
väheke,ADJ_M
väljakannatamatult,ADJ_M
vanamoodsalt,ADJ_M
vapustavalt,ADJ_M
vastikult,ADJ_M
veidi,ADJ_M
veidike,ADJ_M
veidikene,ADJ_M
võimalikult,ADJ_M
võimatult,ADJ_M
võõrastavalt,ADJ_M
võrdlemisi,ADJ_M
parasjagu,COMP_M
natuke,COMP_M
palju,COMP_M
kõige,COMP_M
veel,COMP_M
aina,COMP_M
tunduvalt,COMP_M
veelgi,COMP_M
veidi,COMP_M
pisut,COMP_M
üha,COMP_M
märksa,COMP_M
hoopis,COMP_M
oluliselt,COMP_M
järjest,COMP_M
mõnevõrra,COMP_M
kõvasti,COMP_M
märgatavalt,COMP_M
kuidagi,COMP_M
vähe,COMP_M
tublisti,COMP_M
vähegi,COMP_M
märkimisväärselt,COMP_M
sugugi,COMP_M
sootuks,COMP_M
natukene,COMP_M
selgelt,COMP_M
võrratult,COMP_M
sellevõrra,COMP_M
sedavõrd,COMP_M
tsipa,COMP_M
veidike,COMP_M
üksjagu,COMP_M
võrreldamatult,COMP_M
mõõtmatult,COMP_M
