_phrase_,type,grammar_symbol
callable,string,string
"('Aa', 'ms')",talu,TALU
"('Aa',)",talu,TALU
"('Aabrami', 't')",talu,TALU
"('Aabrami',)",talu,TALU
"('Aabsemäe', 't')",talu,TALU
"('Aabsemäe',)",talu,TALU
"('Aabu', 't')",talu,TALU
"('Aabu',)",talu,TALU
"('Aade', 't')",talu,TALU
"('Aade',)",talu,TALU
"('Aadma', 'ms')",talu,TALU
"('Aadma',)",talu,TALU
"('Aadu', 't')",talu,TALU
"('Aadu',)",talu,TALU
"('Aaduhansu', 't')",talu,TALU
"('Aaduhansu',)",talu,TALU
"('Aadujüri', 't')",talu,TALU
"('Aadujüri',)",talu,TALU
"('Aadukandi', 't')",talu,TALU
"('Aadukandi',)",talu,TALU
"('Aaduma', 't')",talu,TALU
"('Aaduma',)",talu,TALU
"('Aadusauna', 't')",talu,TALU
"('Aadusauna',)",talu,TALU
"('Aakre', 'ms')",talu,TALU
"('Aakre',)",talu,TALU
"('Aara', 't')",talu,TALU
"('Aara',)",talu,TALU
"('Aarde', 't')",talu,TALU
"('Aarde',)",talu,TALU
"('Aari', 'krvms')",talu,TALU
"('Aari',)",talu,TALU
"('Aarla', 'krjms')",talu,TALU
"('Aarla',)",talu,TALU
"('Aasa', 't')",talu,TALU
"('Aasa',)",talu,TALU
"('Aasamaa', 't')",talu,TALU
"('Aasamaa',)",talu,TALU
"('Aasamäe', 't')",talu,TALU
"('Aasamäe',)",talu,TALU
"('Aasla', 't')",talu,TALU
"('Aasla',)",talu,TALU
"('Aaspere', 'ms')",talu,TALU
"('Aaspere',)",talu,TALU
"('Aasu', 't')",talu,TALU
"('Aasu',)",talu,TALU
"('Aasumäe', 't')",talu,TALU
"('Aasumäe',)",talu,TALU
"('Aasuotsa', 't')",talu,TALU
"('Aasuotsa',)",talu,TALU
"('Aasuvälja', 't')",talu,TALU
"('Aasuvälja',)",talu,TALU
"('Aavere', 'ms')",talu,TALU
"('Aavere',)",talu,TALU
"('Aavikmäe', 't')",talu,TALU
"('Aavikmäe',)",talu,TALU
"('Aaviksaare', 't')",talu,TALU
"('Aaviksaare',)",talu,TALU
"('Aaviku', 'krjms')",talu,TALU
"('Aaviku',)",talu,TALU
"('Aaviku', 'kõrts')",talu,TALU
"('Aaviku', 'saun')",talu,TALU
"('Aaviku', 't')",talu,TALU
