_phrase_,type,grammar_symbol
callable,string,string
"('Aabrahami', 'puiestee')",tänav,TÄNAV
"('Aabrahami',)",tänav,TÄNAV
"('Julius', 'Aamisepa', 'tn')",tänav,TÄNAV
"('Julius', 'Aamisepa')",tänav,TÄNAV
"('Aamisepa',)",tänav,TÄNAV
"('Aarde', 'tn')",tänav,TÄNAV
"('Aarde',)",tänav,TÄNAV
"('Aardla', 'tn')",tänav,TÄNAV
"('Aardla',)",tänav,TÄNAV
"('Aardlavälja', 'tn')",tänav,TÄNAV
"('Aardlavälja',)",tänav,TÄNAV
"('Aasa', 'tee')",tänav,TÄNAV
"('Aasa',)",tänav,TÄNAV
"('Aasa', 'tn')",tänav,TÄNAV
"('Aasnurmiku', 'tee')",tänav,TÄNAV
"('Aasnurmiku',)",tänav,TÄNAV
"('Aasta', 'tn')",tänav,TÄNAV
"('Aasta',)",tänav,TÄNAV
"('Aate', 'tn')",tänav,TÄNAV
"('Aate',)",tänav,TÄNAV
"('Aava', 'tn')",tänav,TÄNAV
"('Aava',)",tänav,TÄNAV
"('Aaviku', 'põik')",tänav,TÄNAV
"('Aaviku',)",tänav,TÄNAV
"('Aaviku', 'tee')",tänav,TÄNAV
"('Abaja', 'tn')",tänav,TÄNAV
"('Abaja',)",tänav,TÄNAV
"('Abara', 'tn')",tänav,TÄNAV
"('Abara',)",tänav,TÄNAV
"('Abja', 'tee')",tänav,TÄNAV
"('Abja',)",tänav,TÄNAV
"('Amandus', 'Adamsoni', 'tn')",tänav,TÄNAV
"('Amandus', 'Adamsoni')",tänav,TÄNAV
"('Adamsoni',)",tänav,TÄNAV
"('Ferdinand', 'Gustav', 'Adoffi', 'tn')",tänav,TÄNAV
"('Ferdinand', 'Gustav', 'Adoffi')",tänav,TÄNAV
"('Adoffi',)",tänav,TÄNAV
"('Adra', 'tn')",tänav,TÄNAV
"('Adra',)",tänav,TÄNAV
"('Aedniku', 'tn')",tänav,TÄNAV
"('Aedniku',)",tänav,TÄNAV
"('Aedvere', 'tn')",tänav,TÄNAV
"('Aedvere',)",tänav,TÄNAV
"('Aedvilja', 'tn')",tänav,TÄNAV
"('Aedvilja',)",tänav,TÄNAV
"('Aegna', 'puiestee')",tänav,TÄNAV
"('Aegna',)",tänav,TÄNAV
"('Aeru', 'tn')",tänav,TÄNAV
"('Aeru',)",tänav,TÄNAV
"('Benito', 'Agirre', 'tn')",tänav,TÄNAV
"('Benito', 'Agirre')",tänav,TÄNAV
"('Agirre',)",tänav,TÄNAV
"('Ahingu', 'tn')",tänav,TÄNAV
"('Ahingu',)",tänav,TÄNAV
"('Ahju', 'tn')",tänav,TÄNAV
"('Ahju',)",tänav,TÄNAV
"('Eduard', 'Ahrensi', 'tn')",tänav,TÄNAV
"('Eduard', 'Ahrensi')",tänav,TÄNAV
"('Ahrensi',)",tänav,TÄNAV
"('Ahtme', 'maantee')",tänav,TÄNAV
"('Ahtme',)",tänav,TÄNAV
"('Ahtri', 'tn')",tänav,TÄNAV
"('Ahtri',)",tänav,TÄNAV
"('Ahvena', 'tn')",tänav,TÄNAV
"('Ahvena',)",tänav,TÄNAV
"('Aia', 'põik')",tänav,TÄNAV
"('Aia',)",tänav,TÄNAV
"('Aia', 'tee')",tänav,TÄNAV
"('Aia', 'tn')",tänav,TÄNAV
"('Aia', 'umbtänav')",tänav,TÄNAV
"('Aiamaa', 'tn')",tänav,TÄNAV
"('Aiamaa',)",tänav,TÄNAV
"('Aiandi', 'tee')",tänav,TÄNAV
"('Aiandi',)",tänav,TÄNAV
"('Aiandi', 'tn')",tänav,TÄNAV
"('Aianduse', 'tee')",tänav,TÄNAV
"('Aianduse',)",tänav,TÄNAV
"('Aianduse', 'tn')",tänav,TÄNAV
"('Aiaotsa', 'tee')",tänav,TÄNAV
"('Aiaotsa',)",tänav,TÄNAV
"('Aiavilja', 'tn')",tänav,TÄNAV
"('Aiavilja',)",tänav,TÄNAV
"('Aiaääre', 'tn')",tänav,TÄNAV
"('Aiaääre',)",tänav,TÄNAV
"('Aida', 'tn')",tänav,TÄNAV
"('Aida',)",tänav,TÄNAV
"('Aisa', 'tn')",tänav,TÄNAV
"('Aisa',)",tänav,TÄNAV
"('Ajutine', 'tn')",tänav,TÄNAV
"('Ajutine',)",tänav,TÄNAV
"('Akadeemia', 'tee')",tänav,TÄNAV
"('Akadeemia',)",tänav,TÄNAV
"('Akadeemia', 'tn')",tänav,TÄNAV
"('Aku', 'tn')",tänav,TÄNAV
"('Aku',)",tänav,TÄNAV
"('Akvarelli', 'tn')",tänav,TÄNAV
"('Akvarelli',)",tänav,TÄNAV
"('Alajaama', 'tee')",tänav,TÄNAV
"('Alajaama',)",tänav,TÄNAV
"('Alajaama', 'tn')",tänav,TÄNAV
"('Alaküla', 'tee')",tänav,TÄNAV
"('Alaküla',)",tänav,TÄNAV
"('Alasi', 'tn')",tänav,TÄNAV
"('Alasi',)",tänav,TÄNAV
"('Alasniidu', 'tee')",tänav,TÄNAV
"('Alasniidu',)",tänav,TÄNAV
"('Alato', 'tn')",tänav,TÄNAV
"('Alato',)",tänav,TÄNAV
"('Albatrossi', 'tn')",tänav,TÄNAV
"('Albatrossi',)",tänav,TÄNAV
"('Ale', 'tn')",tänav,TÄNAV
"('Ale',)",tänav,TÄNAV
"('Aleksandri', 'tn')",tänav,TÄNAV
"('Aleksandri',)",tänav,TÄNAV
"('Alemaa', 'tn')",tänav,TÄNAV
"('Alemaa',)",tänav,TÄNAV
"('Aleti', 'tee')",tänav,TÄNAV
"('Aleti',)",tänav,TÄNAV
"('Alevi', 'tn')",tänav,TÄNAV
"('Alevi',)",tänav,TÄNAV
"('Aleviku', 'tee')",tänav,TÄNAV
"('Aleviku',)",tänav,TÄNAV
"('Algi', 'põik')",tänav,TÄNAV
"('Algi',)",tänav,TÄNAV
"('Algi', 'tn')",tänav,TÄNAV
"('August', 'Alle', 'tn')",tänav,TÄNAV
"('August', 'Alle')",tänav,TÄNAV
"('Alle',)",tänav,TÄNAV
"('Allee', 'tn')",tänav,TÄNAV
"('Allee',)",tänav,TÄNAV
"('Allika', 'põik')",tänav,TÄNAV
"('Allika',)",tänav,TÄNAV
"('Allika', 'tee')",tänav,TÄNAV
"('Allika', 'tn')",tänav,TÄNAV
"('Allikmaa', 'tee')",tänav,TÄNAV
"('Allikmaa',)",tänav,TÄNAV
"('Alliksoo', 'põik')",tänav,TÄNAV
"('Alliksoo',)",tänav,TÄNAV
"('Alliksoo', 'tn')",tänav,TÄNAV
"('Alliku', 'tn')",tänav,TÄNAV
"('Alliku',)",tänav,TÄNAV
"('Allikvee', 'tn')",tänav,TÄNAV
"('Allikvee',)",tänav,TÄNAV
"('Allveelaeva', 'tn')",tänav,TÄNAV
"('Allveelaeva',)",tänav,TÄNAV
"('Alpikanni', 'tee')",tänav,TÄNAV
"('Alpikanni',)",tänav,TÄNAV
"('Altmetsa', 'tee')",tänav,TÄNAV
"('Altmetsa',)",tänav,TÄNAV
"('Altserva', 'tn')",tänav,TÄNAV
"('Altserva',)",tänav,TÄNAV
"('Alu', 'tee')",tänav,TÄNAV
"('Alu',)",tänav,TÄNAV
"('Alu', 'tn')",tänav,TÄNAV
"('Alu', 'Keskuse', 'tee')",tänav,TÄNAV
"('Alu', 'Keskuse')",tänav,TÄNAV
"('Keskuse',)",tänav,TÄNAV
"('Alutaguse', 'tn')",tänav,TÄNAV
"('Alutaguse',)",tänav,TÄNAV
"('Alvari', 'tn')",tänav,TÄNAV
"('Alvari',)",tänav,TÄNAV
"('Betti', 'Alveri', 'tn')",tänav,TÄNAV
"('Betti', 'Alveri')",tänav,TÄNAV
"('Alveri',)",tänav,TÄNAV
"('Amarülluse', 'tee')",tänav,TÄNAV
"('Amarülluse',)",tänav,TÄNAV
"('Ambla', 'maantee')",tänav,TÄNAV
"('Ambla',)",tänav,TÄNAV
"('Ambulatooriumi', 'tn')",tänav,TÄNAV
"('Ambulatooriumi',)",tänav,TÄNAV
"('Amburi', 'tn')",tänav,TÄNAV
"('Amburi',)",tänav,TÄNAV
"('Ammoni', 'tn')",tänav,TÄNAV
"('Ammoni',)",tänav,TÄNAV
"('Ampri', 'tee')",tänav,TÄNAV
"('Ampri',)",tänav,TÄNAV
"('Andrease', 'tn')",tänav,TÄNAV
"('Andrease',)",tänav,TÄNAV
"('Andrekse', 'tee')",tänav,TÄNAV
"('Andrekse',)",tänav,TÄNAV
"('Andrese', 'tee')",tänav,TÄNAV
"('Andrese',)",tänav,TÄNAV
"('Andrese', 'tn')",tänav,TÄNAV
"('Angerja', 'tn')",tänav,TÄNAV
"('Angerja',)",tänav,TÄNAV
"('Angerpisti', 'tn')",tänav,TÄNAV
"('Angerpisti',)",tänav,TÄNAV
"('Angervaksa', 'tee')",tänav,TÄNAV
"('Angervaksa',)",tänav,TÄNAV
"('Angervaksa', 'tn')",tänav,TÄNAV
"('Anija', 'maantee')",tänav,TÄNAV
"('Anija',)",tänav,TÄNAV
"('Aniliini', 'tn')",tänav,TÄNAV
"('Aniliini',)",tänav,TÄNAV
"('Ankru', 'tee')",tänav,TÄNAV
"('Ankru',)",tänav,TÄNAV
"('Ankru', 'tn')",tänav,TÄNAV
"('Anne', 'tn')",tänav,TÄNAV
"('Anne',)",tänav,TÄNAV
"('Annemõisa', 'tn')",tänav,TÄNAV
"('Annemõisa',)",tänav,TÄNAV
"('Annemäe', 'tee')",tänav,TÄNAV
"('Annemäe',)",tänav,TÄNAV
"('Anni', 'tn')",tänav,TÄNAV
"('Anni',)",tänav,TÄNAV
"('Annuse', 'tee')",tänav,TÄNAV
"('Annuse',)",tänav,TÄNAV
"('Antenni', 'tn')",tänav,TÄNAV
"('Antenni',)",tänav,TÄNAV
"('Antsla', 'maantee')",tänav,TÄNAV
"('Antsla',)",tänav,TÄNAV
"('Antsla', 'tee')",tänav,TÄNAV
"('Antsla', 'tn')",tänav,TÄNAV
"('Aleksander', 'Antsoni', 'tn')",tänav,TÄNAV
"('Aleksander', 'Antsoni')",tänav,TÄNAV
"('Antsoni',)",tänav,TÄNAV
"('Antsu', 'tn')",tänav,TÄNAV
"('Antsu',)",tänav,TÄNAV
"('Jaan', 'Anveldi', 'tn')",tänav,TÄNAV
"('Jaan', 'Anveldi')",tänav,TÄNAV
"('Anveldi',)",tänav,TÄNAV
"('Ao', 'tn')",tänav,TÄNAV
"('Ao',)",tänav,TÄNAV
"('Apteegi', 'tn')",tänav,TÄNAV
"('Apteegi',)",tänav,TÄNAV
"('Araku', 'tn')",tänav,TÄNAV
"('Araku',)",tänav,TÄNAV
"('Aravete', 'KETE')",tänav,TÄNAV
"('KETE',)",tänav,TÄNAV
"('Arbavere', 'tee')",tänav,TÄNAV
"('Arbavere',)",tänav,TÄNAV
"('Arbi', 'tn')",tänav,TÄNAV
"('Arbi',)",tänav,TÄNAV
"('Arbimäe', 'tn')",tänav,TÄNAV
"('Arbimäe',)",tänav,TÄNAV
"('Arbu', 'tn')",tänav,TÄNAV
"('Arbu',)",tänav,TÄNAV
"('Peet', 'Areni', 'tn')",tänav,TÄNAV
"('Peet', 'Areni')",tänav,TÄNAV
"('Areni',)",tänav,TÄNAV
"('Arhiivi', 'tn')",tänav,TÄNAV
"('Arhiivi',)",tänav,TÄNAV
"('Arhitekti', 'tn')",tänav,TÄNAV
"('Arhitekti',)",tänav,TÄNAV
"('Arkna', 'tee')",tänav,TÄNAV
"('Arkna',)",tänav,TÄNAV
"('Armatuuri', 'tn')",tänav,TÄNAV
"('Armatuuri',)",tänav,TÄNAV
"('Arnika', 'tee')",tänav,TÄNAV
"('Arnika',)",tänav,TÄNAV
"('Aroonia', 'tee')",tänav,TÄNAV
"('Aroonia',)",tänav,TÄNAV
"('Aroonia', 'tn')",tänav,TÄNAV
"('Artelli', 'tn')",tänav,TÄNAV
"('Artelli',)",tänav,TÄNAV
"('Aru', 'tee')",tänav,TÄNAV
"('Aru',)",tänav,TÄNAV
