And		X	Foreign=Yes
at		X	Foreign=Yes
At		X	Foreign=Yes
be		X	Foreign=Yes
Be		X	Foreign=Yes
do		X	Foreign=Yes
From		X	Foreign=Yes
from		X	Foreign=Yes
For		X	Foreign=Yes
for		X	Foreign=Yes
In		X	Foreign=Yes
in		X	Foreign=Yes
Is		X	Foreign=Yes
is		X	Foreign=Yes
It		X	Foreign=Yes
it		X	Foreign=Yes
Have		X	Foreign=Yes
have		X	Foreign=Yes
My		X	Foreign=Yes
my		X	Foreign=Yes
NB		X	Foreign=Yes Abbr=Yes
Nb		X	Foreign=Yes Abbr=Yes
Not		X	Foreign=Yes
not		X	Foreign=Yes
Of		X	Foreign=Yes
of		X	Foreign=Yes
Or		X	Foreign=Yes
or		X	Foreign=Yes
Than		X	Foreign=Yes
than		X	Foreign=Yes
The		X	Foreign=Yes
the		X	Foreign=Yes
This		X	Foreign=Yes
this		X	Foreign=Yes
To		X	Foreign=Yes
to		X	Foreign=Yes
up		X	Foreign=Yes
We		X	Foreign=Yes
we		X	Foreign=Yes
Yes		X	Foreign=Yes
yes		X	Foreign=Yes
