number,suffix,pos,form,ending
([1-9][0-9]*)?1[1-9]$,,N,?,0
([1-9][0-9]*)?1[1-9]$,lt,N,sg abl,lt
([1-9][0-9]*)?1[1-9]$,l,N,sg ad,l
([1-9][0-9]*)?1[1-9]$,le,N,sg all,le
([1-9][0-9]*)?1[1-9]$,st,N,sg el,st
([1-9][0-9]*)?1[1-9]$,na,N,sg es,na
([1-9][0-9]*)?1[1-9]$,ne,N,sg g,0
([1-9][0-9]*)?1[1-9]$,sse,N,sg ill,sse
([1-9][0-9]*)?1[1-9]$,s,N,sg in,s
([1-9][0-9]*)?1[1-9]$,ga,N,sg kom,ga
([1-9][0-9]*)?1[1-9]$,ni,N,sg ter,ni
([1-9][0-9]*)?1[1-9]$,ks,N,sg tr,ks
([1-9][0-9]*)?1[1-9]$,ndatel,O,pl ad,tel
([1-9][0-9]*)?1[1-9]$,ndate,O,pl g,te
([1-9][0-9]*)?1[1-9]$,ndates,O,pl in,tes
([1-9][0-9]*)?1[1-9]$,ndad,O,pl n,d
([1-9][0-9]*)?1[1-9]$,ndaid,O,pl p,id
([1-9][0-9]*)?1[1-9]$,ndalt,O,sg abl,lt
([1-9][0-9]*)?1[1-9]$,ndal,O,sg ad,l
([1-9][0-9]*)?1[1-9]$,ndale,O,sg all,le
([1-9][0-9]*)?1[1-9]$,ndast,O,sg el,st
([1-9][0-9]*)?1[1-9]$,ndana,O,sg es,na
([1-9][0-9]*)?1[1-9]$,nda,O,sg g,0
([1-9][0-9]*)?1[1-9]$,ndasse,O,sg ill,sse
([1-9][0-9]*)?1[1-9]$,ndas,O,sg in,s
([1-9][0-9]*)?1[1-9]$,ndaga,O,sg kom,ga
([1-9][0-9]*)?1[1-9]$,ndat,O,sg p,t
([1-9][0-9]*)?1[1-9]$,ndani,O,sg ter,ni
([1-9][0-9]*)?1[1-9]$,ndaks,O,sg tr,ks
([1-9][0-9]*)?1[1-9]\.$,,O,?,0
([1-9][0-9]*)?[1-9]0$,,N,?,0
([1-9][0-9]*)?[1-9]0$,ta,N,sg ab,ta
([1-9][0-9]*)?[1-9]0$,lt,N,sg abl,lt
([1-9][0-9]*)?[1-9]0$,l,N,sg ad,l
([1-9][0-9]*)?[1-9]0$,le,N,sg all,le
([1-9][0-9]*)?[1-9]0$,st,N,sg el,st
([1-9][0-9]*)?[1-9]0$,na,N,sg es,na
([1-9][0-9]*)?[1-9]0$,ne,N,sg g,0
([1-9][0-9]*)?[1-9]0$,sse,N,sg ill,sse
([1-9][0-9]*)?[1-9]0$,s,N,sg in,s
([1-9][0-9]*)?[1-9]0$,ga,N,sg kom,ga
([1-9][0-9]*)?[1-9]0$,ni,N,sg ter,ni
([1-9][0-9]*)?[1-9]0$,ks,N,sg tr,ks
([1-9][0-9]*)?[1-9]0$,ndail,O,pl ad,il
([1-9][0-9]*)?[1-9]0$,ndatel,O,pl ad,tel
([1-9][0-9]*)?[1-9]0$,ndaile,O,pl all,ile
([1-9][0-9]*)?[1-9]0$,ndatele,O,pl all,tele
([1-9][0-9]*)?[1-9]0$,ndaist,O,pl el,ist
([1-9][0-9]*)?[1-9]0$,ndatest,O,pl el,test
([1-9][0-9]*)?[1-9]0$,ndate,O,pl g,te
([1-9][0-9]*)?[1-9]0$,ndaisse,O,pl ill,isse
([1-9][0-9]*)?[1-9]0$,ndatesse,O,pl ill,tesse
([1-9][0-9]*)?[1-9]0$,ndais,O,pl in,is
([1-9][0-9]*)?[1-9]0$,ndates,O,pl in,tes
([1-9][0-9]*)?[1-9]0$,ndatega,O,pl kom,tega
([1-9][0-9]*)?[1-9]0$,ndad,O,pl n,d
([1-9][0-9]*)?[1-9]0$,ndaid,O,pl p,id
([1-9][0-9]*)?[1-9]0$,ndateni,O,pl ter,teni
([1-9][0-9]*)?[1-9]0$,ndaiks,O,pl tr,iks
([1-9][0-9]*)?[1-9]0$,ndateks,O,pl tr,teks
([1-9][0-9]*)?[1-9]0$,ndalt,O,sg abl,lt
([1-9][0-9]*)?[1-9]0$,ndal,O,sg ad,l
([1-9][0-9]*)?[1-9]0$,ndale,O,sg all,le
([1-9][0-9]*)?[1-9]0$,ndast,O,sg el,st
([1-9][0-9]*)?[1-9]0$,ndana,O,sg es,na
([1-9][0-9]*)?[1-9]0$,nda,O,sg g,0
([1-9][0-9]*)?[1-9]0$,ndasse,O,sg ill,sse
([1-9][0-9]*)?[1-9]0$,ndas,O,sg in,s
([1-9][0-9]*)?[1-9]0$,ndaga,O,sg kom,ga
([1-9][0-9]*)?[1-9]0$,ndat,O,sg p,t
([1-9][0-9]*)?[1-9]0$,ndani,O,sg ter,ni
([1-9][0-9]*)?[1-9]0$,ndaks,O,sg tr,ks
