"7,0",halb,xcomp,tea_eesti_arst_2004_1598#25,,,,,,,,,,,,
ajama,hull,xcomp,ilu_orlau_140#17,,,,,,,,,,,,
ajama,paha,xcomp,ilu_kivirahk_274#7,,,,,,,,,,,,
ajama,paha,xcomp,ilu_maailm_193#7,,,,,,,,,,,,
ajama,suur,xcomp,aja_luup200009_204#4,,,,,,,,,,,,
ajama,tige,xcomp,aja_sloleht20071217_531#3,,,,,,,,,,,,
ajav,hull,xcomp,tea_AA_05_6_1167#1,xcomp,Hulluks,ajav,Sudoku,,,,,,,,
andma,nüüdne,obl,tea_AA_05_6_787#1,,,,,,,,,,,,
arvama,hea,xcomp,aja_ee200110_1925#12,xcomp,arvab,heaks,,,,,,,,,
arvama,hea,xcomp,ilu_valton_125#13,xcomp,arvasid,seda,ainult,enda,jaoks,heaks,,,,,
arvama,vähe_nõudliku=m,xcomp,aja_pm20001004_397#8,,,,,,,,,,,,
ehitama,parem,xcomp,ilu_sauter_211#11,,,,,,,,,,,,
elama,85_aastane,obl,aja_luup200106_1179#10,,,,,,,,,,,,
elama,aastane,obl,ilu_sauter_447#13,,,,,,,,,,,,
endine,nüüdne,obl,ilu_ruben_199#3,,,,,,,,,,,,
esitama,praegune,obl,aja_epl20061216_563#1,,,,,,,,,,,,
fokuseerima,kolmas,obl,aja_pm20000218_795#1,,,,,,,,,,,,
formaalne,sisuline,advcl,aja_ml200247_826#9,,,hindab,Lemming,pigem,formaalseks,kui,sisuliseks,,,,
hakkama,praegune,obl,tea_toohoive_190#16,,,,,,,,,,,,
hakkima,peen,xcomp,ilu_valton_147#10,,,,,,,,,,,,
%,halb,orphan,tea_eesti_arst_2004_1574#25,,,,,,,,,,,,
haldama,tänane,obl,tea_AA_05_6_434#1,,,,,,,,,,,,
harima,puhas,xcomp,ilu_sauter_659#8,,,,,,,,,,,,
hea,normaalne,advcl,aja_sloleht20071217_88#10,,,,,,,,,,,,
heitma,surnud,xcomp,arborest_741#5,,,,,,,,,,,,
hindama,eba_harmooniline,xcomp,aja_luup200202_190#10,,,,,,,,,,,,
hindama,formaalne,xcomp,aja_ml200247_826#7,,,,,,,,,,,,
